28  
Consejería de Medio Ambiente Comunidad de Madrid.                               
Princesa,3 planta 9                                                             
28001 Madrid                                                                    
0271
28065012Getafe (nº 1)                                                         16
01Anhídrido Sulfuroso        µg/m3     38Fluorescencia ultravioleta 266200000003
2804900108080205020400029V00017V00023V00023V00028V00049V00062V00067V00061V00051V00051V00050V00046V00039V00043V00041V00071V00103V00098V00101V00099V00101V00096V00084V
28049001064802050204000.5V000.6V000.6V000.6V000.5V000.7V000.6V000.8V000.7V000.9V000.7V000.5V000.3V000.4V000.2V000.3V000.7V001.1V001.2V001.5V001.5V001.6V001.1V001.3V
2804900110490205020400010V00009V00008V00009V00011V00015V00019V00022V00029V00033V00037V00039V00043V00048V00048V00055V00051V00073V00085V00066V00082V00079V00078V00058V
2804900114060205020400038V00045V00038V00036V00028V00012V00007V00007V00010V00018V00020V00026V00033V00043V00046V00056V00028V00009V00008V00008V00006V00007V00006V00006V
2804900182890205020400023V00022V00100V00021V00178V00177V00022V00178V00019V00122V00057V00069V00091V00130V00147V00175V00158V00158V00174V00249V00018V00246V00025V00063V
28049001818902050204003.4V003.7V002.6V002.6V002.0V001.9V002.2V002.0V002.7V002.3V002.3V002.5V002.6V003.0V002.9V002.9V002.5V001.9V002.0V001.5V000.9V001.1V001.1V001.3V
28049001838902050204002.8V002.1V001.1V000.7V-00.2V-00.7V-00.5V-00.4V000.5V002.7V005.0V007.1V008.6V009.9V010.8V011.2V010.3V009.0V008.0V007.1V006.1V005.4V004.1V003.1V
2804900186890205020400062V00065V00068V00068V00069V00070V00069V00069V00066V00060V00055V00052V00052V00053V00050V00048V00051V00055V00058V00061V00064V00066V00069V00072V
2804900187890205020400933V00933V00932V00932V00933V00933V00933V00933V00934V00934V00934V00934V00933V00932V00932V00931V00931V00932V00932V00932V00932V00932V00932V00932V
2804900188890205020400004V00004V00004V00004V00004V00004V00004V00011V00111V00233V00338V00409V00431V00406V00327V00221V00059V00004V00004V00004V00004V00004V00004V00004V
28049001898902050204000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2805100107080205020400002V00003V00002V00003V00003V00005V00003V00003V00003V00003V00003V00003V00006V00007V00008V00003R00002V00004V00016V00004V00004V00004V00004V00004V
2805100108080205020400013V00016V00015V00013V00017V00025V00027V00019V00017V00018V00019V00016V00036V00051V00055V00026R00018V00029V00075V00045V00042V00038V00038V00042V
28051001104902050204018.0V013.0V012.3V012.3V016.8V011.0V010.5V022.8V020.0V019.3V027.3V055.8V050.0V073.8V114.0V065.8V086.0V060.8V058.5V074.3V055.8V049.3V051.0V052.3V
2805100114060205020400044V00043V00041V00037V00033V00022V00027V00037V00043V00044V00044V00046V00031V00024V00020V00055R00064R00052V00009V00027V00028V00029V00026V00019V
28051001828902050204314.3V330.5V211.0V263.5V249.5V238.3V099.3V030.0V044.8V056.0V067.5V074.0V090.3V091.5V107.0V114.0V102.3V135.0V329.0V326.8V326.0V323.0V317.5V310.5V
28051001818902050204002.5V002.4V001.4V001.3V002.0V001.6V002.4V002.7V003.5V004.0V003.2V003.0V002.7V002.8V003.0V002.4V001.8V001.1V002.1V002.2V002.1V002.0V002.0V002.3V
28051001838902050204003.3V004.0V003.0V001.7V002.0V001.2V000.6V001.4V002.9V004.2V005.5V006.8V007.9V008.7V009.0V009.3V009.4V008.6V006.3V005.0V004.8V004.5V004.5V004.1V
28051001868902050204049.3V049.6V052.6V058.3V057.0V060.1V062.3V060.0V055.6V054.0V054.8V053.0V051.6V048.7V049.0V051.1V050.7V053.6V062.4V065.8V067.4V069.5V070.2V070.7V
2805100187890205020400930V00930V00929V00930V00930V00930V00930V00930V00931V00931V00931V00931V00930V00929V00929V00928V00928V00929V00929V00929V00930V00929V00929V00929V
2805100188890205020400004V00004V00004V00004V00004V00004V00004V00014V00137V00280V00402V00480V00488V00452V00374V00249V00102V00006V00004V00004V00004V00004V00004V00004V
28051001898902050204000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2804500207080205020400001V00001V00002V00001V00001V00002V00004V00007V00004V00003V00004V00004V00003V00001R00002V00002V00004V00010V00005V00021V00036V00008V00006V00021V
2804500208080205020400010V00007V00009V00011V00007V00011V00018V00020V00019V00018V00015V00015V00014V00013R00016V00021V00028V00035V00035V00038V00039V00030V00031V00031V
28045002064802050204000.1V000.1V000.1V000.1V000.2V000.2V000.4V000.3V000.3V000.3V000.2V000.2V000.2V000.2R000.2V000.3V000.3V000.5V000.4V001.0V001.1V000.4V000.3V000.4V
2804500210490205020400006V00006V00009V00017V00015V00012V00009V00021V00023V00016V00026V00029V00036V00034V00041V00044V00044V00061V00077V00070V00085V00075V00070V00061V
2804500214060205020400056V00065V00062V00050V00072V00060V00047V00041V00040V00044V00045V00052V00061V00063R00057V00051V00039V00016V00018V00010V00008V00011V00015V00015V
2804500282890205020400204V00270V00264V00180V00046V00029V00039V00047V00050V00066V00074V00068V00096V00129V00136V00137V00143V00159V00208V00214V00215V00270V00247V00152V
28045002818902050204000.8V001.1V000.7V000.6V001.6V001.1V002.0V002.1V002.8V002.7V002.2V001.6V001.5V001.4V001.5V001.4V001.6V001.1V000.8V000.8V000.9V001.0V000.8V000.9V
28045002838902050204002.0V001.4V001.6V001.4V002.5V002.0V002.1V001.8V002.9V003.8V004.7V005.9V006.9V007.4V007.9V008.0V007.8V007.1V006.3V005.5V004.8V004.3V004.5V004.4V
2804500286890205020400059V00060V00058V00059V00055V00057V00057V00057V00055V00053V00053V00053V00053V00053V00051V00051V00052V00057V00060V00063V00065V00066V00066V00068V
2804500287890205020400902V00901V00901V00901V00901V00901V00901V00902V00902V00903V00902V00902V00902V00901V00901V00901V00901V00901V00901V00901V00901V00901V00901V00901V
2804500288890205020400004V00004V00004V00004V00004V00004V00004V00004V00148V00297V00415V00483V00499V00459V00368V00236V00084V00004V00004V00004V00004V00004V00004V00004V
28045002898902050204000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2808000301380205020400010V00010V00010V00010V00009V00010V00010V00010V00010V00011V00012V00013V00015V00014V00013V00012V00010V00010V00012V00010V00012V00014V00011V00012V
2808000307080205020400009V00009V00010V00010V00010V00011V00015V00015V00023V00019V00037V00029V00042V00042V00029V00015V00009V00041V00044V00038V00141V00107V00052V00039V
2808000308080205020400009V00008V00009V00009V00008V00011V00020V00023V00021V00017V00021V00022V00027V00030V00032V00024V00019V00029V00061V00071V00051V00057V00064V00064V
28080003064802050204000.3V000.3V000.3V000.3V000.3V000.3V000.4V000.4V000.4V000.4V000.5V000.5V000.6V000.6V000.6V000.5V000.5V000.6V000.8V000.7V000.9V000.9V000.7V000.7V
2808000310490205020400008V00009V00009V00006V00005V00006V00009V00011V00015V00019V00025V00037V00044V00052V00063V00057V00042V00034V00067V00077V00050V00060V00060V00052V
2808000314060205020400057V00057V00054V00055V00051V00045V00031V00026V00031V00040V00027V00032V00027V00026V00032V00052V00067V00041V00010V00005V00004V00005V00005V00005V
2808000382890205020400066V00067V00069V00065V00054V00050V00049V00048V00048V00052V00101V00111V00113V00119V00141V00142V00147V00196V00111V00130V00056V00024V00034V00024V
28080003818902050204004.9V005.1V003.7V004.2V005.2V005.4V004.5V003.3V003.3V002.8V002.3V002.6V002.6V002.3V002.3V002.1V001.4V000.6V000.8V000.9V001.0V001.6V001.4V001.6V
28080003838902050204004.8V004.3V003.7V003.6V003.0V002.9V002.6V002.6V003.6V005.7V007.3V008.6V009.6V010.1V010.9V011.3V011.2V010.6V009.3V008.3V008.2V008.2V008.1V006.9V
2808000386890205020400072V00072V00075V00076V00076V00076V00077V00076V00073V00069V00070V00067V00064V00063V00061V00061V00063V00067V00073V00077V00077V00073V00073V00077V
2808000387890205020400922V00922V00921V00921V00921V00921V00922V00922V00923V00923V00923V00923V00922V00922V00922V00922V00922V00922V00922V00922V00922V00922V00921V00922V
2808000388890205020400008V00009V00008V00008V00008V00009V00009V00023V00142V00273V00372V00440V00455V00417V00334V00217V00085V00011V00008V00008V00008V00008V00008V00008V
28080003898902050204000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2801300207080205020400010V00002V00002V00002V00003V00004V00012V00016V00016V00009V00009V00008V00005V00003V00002R00002V00001R00003V00002V00006V00003V00002V00001V00001V
2801300208080205020400031V00021V00015V00015V00013V00014V00019V00021V00021V00017V00019V00017V00013V00010V00008R00013V00014R00033V00025V00036V00022V00009V00010V00010V
2801300210490205020400038V00028V00016V00017V00013V00010V00007V00081V00030V00014V00031V00059V00063V00058V00053V00045V00055V00063V00108V00070V00061V00044V00033V00028V
2801300214060205020400015V00024V00027V00023V00024V00019V00016V00015V00018V00027V00035V00054V00070V00084V00098R00106V00090R00063V00071V00048V00063V00082V00078V00074V
2801300282890205020400074V00067V00058V00129V00069V00069V00062V00058V00045V00059V00045V00281V00162V00291V00075V00097V00069V00080V00078V00074V00102V00136V00221V00125V
28013002818902050204000.5V000.8V000.6V000.5V001.2V001.2V001.0V000.8V001.0V001.0V000.8V000.7V001.1V001.1V001.4V001.9V002.4V001.0V001.4V001.1V001.8V003.3V001.7V000.8V
28013002838902050204-00.9V-01.9V-02.6V-03.1V-04.3V-05.3V-05.2V-05.1V-03.7V-01.9V001.0V004.9V007.7V010.0V011.7V012.1V011.1V009.9V008.8V008.0V007.2V007.7V006.9V005.9V
2801300286890205020400066V00070V00073V00074V00079V00084V00083V00083V00081V00077V00074V00070V00066V00059V00052V00047V00051V00054V00056V00058V00058V00053V00056V00060V
2801300287890205020400952V00952V00952V00952V00952V00952V00953V00953V00954V00954V00954V00954V00952V00952V00951V00951V00951V00952V00952V00952V00952V00951V00951V00951V
2801300288890205020400004V00004V00004V00004V00004V00004V00004V00005V00032V00093V00160V00421V00494V00461V00339V00230V00079V00007V00004V00004V00004V00004V00004V00004V
28013002898902050204000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2812300114060205020400036V00039V00038V00037V00035V00028V00004V00003V*****N00017V00032R00029V00040V00051V00059V00069V00063V00029V00040V00050V00046V00054V00037V00029V
2802700114060205020400025V00027V00034V00024V00026V00023V00019V00016R00018V00037V00072V00087V00097V00100V00102V00100V00097V00083V00063V00035V00038V00016V00018V00008V
2806800114060205020400046V00052R00046V00051V00043V00018V00013V00021V00046V00087V00084V00085V00082V00083V00087V00070V00033V00003V00002V00001V00001V00001V00002V00004V
2813300114060205020400040V00034V00031V00029V00025V00013V00009V00006V00006V00026V00049V00073V00071V00056V00044V00065V00078V00059V00024V00014V00012V00006V00005V00005V
2806501201380205020500025V00022V00016V00012V00005V00007V00007V00006V00008V00007V00004V00004V00004V00004V00004V00004V00005V00004V00005V00004V00004V00004V00004V00004R
2806501207080205020500364V00289V00191V00119V00024V00028V00018V00030V00052V00031V00025V00028V00025V00018V00015V00019V00021V00008V00014V00011V00013V00007V00011V00019R
2806501208080205020500174V00142V00119V00097V00069V00071V00069V00067V00077V00055V00043V00044V00043V00039V00042V00056V00068V00063V00077V00069V00062V00049V00054V00064R
28065012064802050205002.7V002.0V001.6V001.1V000.6V000.6V000.7V000.8V000.8V000.7V000.7V000.7V000.7V000.6V000.6V000.7V000.6V000.5V000.7V000.6V000.6V000.5V000.5V000.8R
2806501210490205020500139V00127V00110V00087V00071V00050V00049V00053V00051V00065V00058V00055V00060V00056V00050V00057V00066V00063V00067V00075V00061V00061V00061V00055V
2806501214060205020500002V00002V00001V00001V00001V00001V00004V00004V00007V00023V00031V00035V00046V00050V00056V00047V00038V00036V00020V00031V00027V00037V00027V00022R
2806501282890205020500057V00023V00022V00048V00086V00075V00080V00069V00070V00091V00164V00119V00119V00147V00186V00209V00214V00232V00225V00237V00282V00282V00214V00186V
28065012818902050205001.3V001.7V001.5V002.0V003.0V003.0V003.5V002.9V002.8V003.2V002.3V002.0V002.3V002.5V002.8V002.7V002.7V002.5V002.6V002.8V002.9V003.0V002.3V002.7V
28065012838902050205003.9V002.7V001.8V001.8V001.8V001.6V001.8V001.6V002.4V003.8V004.4V005.5V007.1V008.1V009.0V009.0V008.9V008.1V007.3V006.8V006.1V005.6V005.3V004.8V
2806501286890205020500090V00090V00090V00090V00090V00090V00090V00090V00090V00090V00090V00086V00064V00054V00043V00041V00041V00047V00053V00055V00076V00089V00090V00090V
2806501287890205020500931V00931V00931V00931V00930V00930V00930V00930V00930V00930V00930V00929V00928V00927V00926V00926V00926V00925V00925V00925V00926V00926V00926V00926V
2806501288890205020500004V00004V00004V00004V00004V00004V00004V00004V00072V00199V00135V00267V00358V00321V00237V00078V00030V00004V00004V00004V00004V00004V00004V00004V
28065012898902050205000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
28065012305902050205002.1V001.6V004.5V000.5V000.2V000.1V000.2V000.3V000.5V000.4V000.2V000.1V000.2V000.1V000.3V000.1V000.1V000.1V000.1V000.1V000.1V000.1V000.1V000.1V
28065012205902050205005.7V004.7V009.2V002.5V001.0V000.9V001.2V001.0V000.6V000.5V000.4V000.7V000.5V000.3V000.5V000.5V000.3V000.3V000.3V000.3V000.3V000.3V000.3V000.4V
28065012315902050205006.1V025.5V040.0V018.5V001.9V005.2V012.3V008.6V013.3V007.4V000.8V000.9V000.9V000.8V000.8V000.8V000.8V000.8V000.8V000.8V000.8V000.8V000.8V000.8V
2807400701380205020500013V00012V00008V00007V00006V00005V00007V00007V00007V00007V00006V00009V00008V00007V00006V00006V00006V00006V00007V00006V00005V00004V00005V00003V
2807400707080205020500233V00214V00132V00098V00053V00042V00053V00075V00053V00023V00014V00013V00010V00007V00006V00003V00004V00009V00013V00007V00010V00008V00003V00001V
2807400708080205020500125V00120V00093V00086V00076V00071V00072V00072V00067V00048V00037V00029V00024V00022V00027V00022V00032V00049V00068V00048V00053V00044V00045V00040V
28074007064802050205001.9V001.9V001.5V001.2V001.0V000.8V000.9V001.0V001.2V000.8V000.6V000.6V000.6V000.6V000.5V000.5V000.6V000.7V000.8V000.6V000.7V000.7V000.7V000.6V
2807400710490205020500110V00090V00080V00075V00061V00061V00052V00051V00060V00052V00043V00048V00050V00045V00042V00046V00041V00054V00061V00061V00052V00050V00051V00043V
2807400714060205020500002V00002V00002V00002V00002V00002V00002V00002V00008V00022V00031V00039V00047V00055V00055V00067V00063V00042V00027V00037V00032V00034V00031V00030V
2807400782890205020500107V00188V00242V00186V00068V00057V00068V00029V00056V00085V00136V00091V00118V00147V00232V00197V00225V00242V00226V00247V00260V00249V00180V00170V
28074007818902050205000.7V000.7V000.7V000.9V001.7V001.8V001.8V001.2V001.6V001.8V001.7V001.9V001.8V001.9V002.2V002.3V002.1V002.2V002.5V002.3V001.9V002.2V002.3V002.3V
28074007838902050205003.3V001.5V001.1V001.7V002.2V002.3V002.4V001.9V003.1V004.5V004.8V006.2V007.5V008.9V009.6V009.4V009.0V008.1V007.6V006.9V006.1V005.5V005.6V005.1V
2807400786890205020500073V00077V00080V00078V00077V00077V00076V00078V00074V00070V00069V00064V00058V00053V00051V00050V00050V00055V00056V00059V00064V00068V00068V00072V
2807400787890205020500930V00929V00929V00929V00929V00928V00928V00928V00928V00928V00928V00927V00926V00925V00924V00924V00924V00924V00924V00924V00924V00924V00924V00924V
2807400788890205020500004V00004V00004V00004V00004V00004V00004V00004V00088V00167V00136V00344V00408V00369V00278V00127V00040V00004V00004V00004V00004V00004V00004V00004V
28074007898902050205000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2800500201380205020500008V00009V00015V00015V00012V00018V00015V00013V00017V00018V00015V00014V00014V00008V00007V00009V00012V00009V00010V00012V00014V00013V00009V00007V
2800500207080205020500060V00083V00068V00046V00046V00028V00020V00024V00031V00043V00014V00010V00013V00004V00005V00004V00004V00005V00005V00006V00007V00005V00002V00012V
2800500208080205020500071V00071V00065V00056V00050V00049V00048V00048V00050V00048V00034V00027V00028V00012V00016V00021V00028V00037V00046V00050V00055V00044V00022V00048V
28005002064802050205000.8V000.9V000.9V000.5V000.4V000.3V000.4V000.5V000.5V000.5V000.5V000.4V000.4V000.3V000.4V000.3V000.4V000.4V000.5V000.6V000.6V000.5V000.4V000.6V
2800500210490205020500062V00046V00049V00066V00067V00055V00055V00052V00056V00059V00063V00041V00038V00046V00045V00040V00049V00045V00043V00046V00052V00062V00052V00034V
2800500214060205020500001V00001V00001V00001V00001V00001V00003V00003V00006V00012V00030V00042V00051V00068V00066V00063V00055V00043V00031V00022V00018V00028V00053V00030V
2800500282890205020500238V00175V00118V00096V00087V00097V00091V00102V00118V00101V00140V00237V00193V00227V00248V00220V00241V00225V00192V00163V00174V00159V00153V00170V
28005002818902050205001.5V001.1V001.4V002.0V002.1V002.9V003.3V002.5V002.1V002.2V001.5V002.1V001.8V002.2V002.9V002.8V002.6V002.1V002.2V001.7V002.0V002.8V002.7V001.5V
28005002838902050205002.8V002.6V001.7V000.9V000.3V000.4V000.9V001.5V002.2V003.7V005.7V007.4V009.3V009.6V010.2V009.9V009.3V008.8V008.1V007.2V007.0V006.6V006.0V005.7V
2800500286890205020500074V00076V00080V00083V00085V00086V00086V00086V00085V00078V00070V00063V00055V00053V00051V00050V00052V00054V00058V00061V00062V00064V00072V00075V
2800500287890205020500960V00960V00960V00960V00960V00959V00959V00959V00959V00959V00959V00958V00957V00956V00955V00955V00954V00954V00954V00954V00954V00955V00955V00954V
2800500288890205020500004V00004V00004V00004V00004V00004V00004V00004V00013V00196V00180V00262V00321V00203V00215V00091V00018V00004V00004V00004V00004V00004V00004V00004V
28005002898902050205000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2800500214080205020500001V00001V00001V00001V00001V00001V00003V00003V00005V00011V00029V00042V00049V00068V00066V00062V00055V00045V00031V00022V00018V00027V00052V00030V
2800600401380205020500010V00011V00011V00010V00009V00008V00007V00008V00006V00008V00010V00009V00010V00010V00012V00013V00011V00009V00009V00009V00008V00010V00008V00007V
2800600407080205020500052V00083V00072V00071V00040V00005V00003V00006V00008V00009V00018V00008V00010V00010V00012V00008V00004V00004V00007V00014V00013V00024V00012V00012V
2800600408080205020500089V00087V00082V00077V00064V00049V00039V00049V00043V00039V00054V00039V00041V00049V00059V00061V00056V00061V00084V00093V00083V00089V00066V00073V
28006004064802050205000.9V001.0V000.9V001.1V000.8V000.7V000.6V000.8V000.8V000.8V000.8V000.7V000.7V000.8V000.8V000.9V000.8V000.8V000.6V000.6V000.6V000.8V000.6V000.8V
2800600410490205020500055V00062V00064V00060V00057V00042V00038V00032V00031V00031V00032V00039V00033V00038V00042V00048V00049V00038V00046V00062V00059V00055V00058V00036V
2800600414060205020500004V00004V00004V00004V00008V00022V00033V00021V00027V00035V00030V00043V00046V00050V00045V00051V00055V00046V00019V00010V00012V00007V00024V00010V
2800600482890205020500075V00168V00129V00139V00084V00046V00040V00051V00023V00063V00095V00114V00102V00153V00170V00193V00202V00236V00272V00269V00271V00169V00079V00131V
28006004818902050205001.4V001.1V001.0V000.9V001.9V002.2V002.7V002.5V002.3V002.3V001.9V002.5V002.4V002.5V003.1V003.3V003.7V003.0V002.8V002.7V002.4V001.2V002.5V001.1V
28006004838902050205002.5V001.6V000.3V-00.6V000.0V000.4V000.6V001.0V001.3V002.7V003.5V005.3V006.6V007.4V008.3V008.3V008.4V007.4V006.2V005.2V004.1V004.0V003.3V002.8V
2800600486890205020500071V00074V00078V00081V00081V00079V00081V00080V00082V00078V00075V00068V00063V00060V00058V00056V00054V00056V00060V00064V00068V00068V00073V00075V
2800600487890205020500945V00945V00945V00944V00944V00944V00944V00944V00944V00944V00944V00943V00942V00941V00940V00940V00940V00939V00940V00940V00940V00940V00940V00940V
2800600488890205020500004V00004V00004V00004V00004V00004V00004V00004V00057V00114V00183V00387V00444V00392V00337V00129V00071V00004V00004V00004V00004V00004V00004V00004V
28006004898902050205000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
