28  
Consejería de Medio Ambiente Comunidad de Madrid.                               
Princesa,3 planta 9                                                             
28001 Madrid                                                                    
0271
28065012Getafe (nº 1)                                                         16
01Anhídrido Sulfuroso        µg/m3     38Fluorescencia ultravioleta 266200000003
2804500208080205030500030V00032V00022V00034V00040V00039V00038V00054V00034V00028V00009V00009V00009V00008V00009V00008V00009V00011R00012V00019V00033V00050V00017V00022V
28045002064802050305000.7V000.8V000.8V000.8V000.8V000.9V000.8V001.1V000.9V000.9V000.5V000.5V000.5V000.6V000.5V000.6V000.6V000.6R000.6V000.6V000.8V001.1V000.5V000.6V
2804500210490205030500015V00013V00011V00007V00005V00008V00007V00007V00020V00020V00014V00016V00015V00013V00009V00007V00011V00014V00012V00010V00015V00015V00016V00009V
2804500214060205030500071V00065V00074V00070V00062V00062V00061V00052V00073V00079V00099V00102V00103V00102V00103V00101V00097V00096R00092V00086V00071V00057V00087V00077V
2804500282890205030500197V00226V00203V00151V00133V00051V00046V00080V00085V00147V00223V00225V00242V00242V00248V00249V00254V00231V00237V00248V00191V00164V00236V00248V
28045002818902050305001.4V000.9V000.9V001.0V000.8V001.1V001.5V001.1V001.5V001.6V003.6V003.7V002.8V003.4V003.8V003.8V002.5V002.2V002.3V001.9V001.4V001.0V001.7V001.1V
28045002838902050305-01.8V-01.7V-02.6V-01.6V-00.8V-00.9V-01.3V-00.3V000.6V003.4V003.9V005.8V007.5V008.1V008.2V008.6V008.6V008.2V007.4V007.3V007.0V006.4V005.6V004.5V
2804500286890205030500051V00048V00046V00043V00036V00036V00042V00042V00042V00047V00053V00050V00044V00044V00046V00045V00045V00046V00047V00047V00046V00047V00050V00054V
2804500287890205030500894V00894V00894V00894V00894V00894V00894V00895V00895V00896V00895V00895V00894V00894V00893V00893V00893V00893V00892V00893V00893V00893V00893V00892V
2804500288890205030500004V00004V00004V00004V00004V00004V00004V00087V00334V00313V00364V00681V00692V00634V00553V00431V00241V00046V00004V00004V00004V00004V00004V00004V
28045002898902050305000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2808000301380205030500010V00011V00011V00012V00010V00011V00012V00011V00012V00012V00011V00012V00011V00011V00010V00011V00011V00012V00011V00010V00011V00010V00010V00011V
2808000307080205030500013V00010V00011V00011V00010V00017V00021V00017V00014V00013V00012V00012V00011V00011V00010V00010V00010V00010V00013V00009V00009V00009V00009V00009V
2808000308080205030500036V00020V00035V00039V00027V00026V00031V00025V00013V00012V00012V00012V00012V00011V00010V00009V00009V00011V00018V00012V00013V00011V00013V00010V
28080003064802050305000.5V000.4V000.5V000.5V000.4V000.4V000.4V000.4V000.4V000.4V000.4V000.4V000.4V000.4V000.4V000.4V000.4V000.4V000.5V000.4V000.4V000.4V000.4V000.4V
2808000310490205030500015V00016V00015V00015V00015V00012V00015V00017V00015V00012V00018V00024V00013V00013V00011V00013V00016V00010V00010V00009V00011V00013V00013V00010V
2808000314060205030500027V00045V00028V00018V00027V00030V00020V00043V00065V00074V00071V00074V00079V00079V00081V00082V00081V00076V00062V00070V00066V00068V00060V00064V
2808000382890205030500271V00164V00269V00246V00147V00281V00237V00282V00309V00330V00335V00334V00335V00330V00257V00335V00335V00320V00300V00315V00314V00336V00327V00331V
28080003818902050305001.6V001.1V001.5V001.6V001.0V001.3V001.5V002.4V003.1V006.8V008.3V007.8V007.4V006.4V005.0V005.5V006.3V003.4V003.4V003.6V003.7V003.9V003.5V003.3V
28080003838902050305000.3V000.3V-00.9V-01.2V-01.6V-00.4V-00.5V002.0V005.6V007.3V008.1V009.4V010.7V011.2V011.5V012.0V012.1V011.6V010.4V010.0V009.8V009.1V007.9V007.1V
2808000386890205030500063V00059V00067V00068V00070V00064V00066V00063V00058V00056V00055V00054V00051V00051V00051V00050V00051V00054V00057V00058V00062V00062V00064V00067V
2808000387890205030500915V00915V00915V00914V00915V00915V00915V00915V00916V00916V00917V00916V00916V00915V00915V00915V00914V00914V00914V00914V00914V00915V00915V00915V
2808000388890205030500008V00008V00008V00008V00009V00008V00010V00107V00296V00479V00598V00672V00689V00455V00200V00342V00153V00050V00008V00008V00008V00009V00008V00008V
28080003898902050305000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2801300207080205030500002V00002V00003V00003V00005V00003V00006V00020V00011V00017V00014V00007V00003V00003V00002V00001V00002V00002V00002R00003V00002V00001V00001V00001V
2801300208080205030500021V00022V00028V00028V00022V00017V00022V00026V00016V00030V00024V00015V00008V00008V00005V00005V00007V00009V00021R00027V00017V00012V00011V00009V
2801300210490205030500018V00015V00017V00015V00023V00027V00015V00016V00023V00022V00029V00034V00024V00012V00008V00007V00009V00011V00017V00015V00017V00015V00023V00019V
2801300214060205030500053V00040V00025V00020V00016V00022V00013V00016V00037V00057V00061V00087V00102V00106V00109V00107V00104V00097V00073R00064V00073R00080V00080V00080V
2801300282890205030500136V00212V00191V00197V00056V00109V00100V00101V00095V00243V00237V00220V00271V00282V00293V00299V00295V00299V00260V00248V00264V00264V00276V00276V
28013002818902050305000.6V000.6V000.7V000.4V000.6V000.6V000.4V001.1V001.0V001.9V001.6V002.5V002.9V003.5V004.1V003.7V004.1V003.8V002.2V002.4V002.6V002.7V003.1V003.0V
28013002838902050305-01.2V-02.2V-02.6V-03.2V-04.4V-05.2V-05.1V-04.2V-01.8V002.7V005.4V009.1V011.0V011.6V012.2V012.4V012.4V012.0V011.0V010.2V009.4V008.9V008.6V007.8V
2801300286890205030500060V00064V00069V00069V00075V00078V00078V00075V00066V00045V00041V00039V00037V00036V00034V00034V00035V00037V00041V00043V00045V00049V00053V00052V
2801300287890205030500946V00946V00946V00946V00946V00946V00947V00947V00948V00947V00947V00946V00945V00945V00944V00944V00944V00944V00944V00944V00944V00944V00944V00944V
2801300288890205030500004V00004V00004V00004V00004V00004V00004V00111V00305V00479V00611V00693V00670V00480V00336V00235V00216V00069V00004V00004V00004V00004V00004V00004V
28013002898902050305000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2812300114060205030500051V00039V00028V00006V00009V00005V00006V00016V00032V00047V00046V00050V00079V00084V00086V00082V00078V00072V00062V00054V00043V00046V00042V00031V
2802700114060205030500111V00112V00110V00109V00106V00104V00104V00104V00106V00105V00106V00109R00109V00107V00103V00103V00100V00101V00100V00101V00102V00101V00098V00098V
2806800114060205030500105V00111V00110V00110V00112V00111R00108V00099V00098V00092V00094V00102V00108V00112V00111V00106V00101V00103V00102V00094V00091V00085V00082V00080V
2813300114060205030500097V00099V00096V00099V00100V00096V00089V00059V00070V00101V00104V00105V00106V00106V00107V00105V00104V00097V00094V00092V00093V00089V00085V00081V
2806501201380205030600004V00004V00004R00004V00003V00004V00003V00003V00003V00003V00003V00003V00002V00002V00002V00002V00003V00002V00003V00003V00005V00006V00008V00005V
2806501207080205030600005V00005V00004R00001V00002V00002V00002V00003V00005V00012V00017V00016V00013V00015V00010V00011V00010V00018V00015V00016V00015V00016V00007V00009V
2806501208080205030600027V00023V00019R00017V00012V00013V00014V00013V00018V00026V00030V00018V00020V00023V00016V00018V00020V00036V00039V00047V00051V00062V00037V00035V
28065012064802050306000.4V000.4V000.4R000.3V000.3V000.3V000.3V000.3V000.4V000.5V000.8V000.6V000.6V000.7V000.5V000.6V000.6V000.6V000.6V000.6V000.6V000.7V000.5V000.5V
2806501210490205030600020V00023V00019V00019V00018V00013V00012V00011V00011V00013V00014V00018V00023V00015V00014V00011V00011V00012V00013V00020V00016V00014V00012V00019V
2806501214060205030600051V00055V00061R00058V00066V00066V00067V00070V00065V00058V00057V00072V00076V00075V00078V00077V00074V00062V00058V00047V00043V00033V00053V*****N
2806501282890205030600321V00326V00304V00282V00310V00299V00316V00321V00325V00258V00024V00035V00034V00024V00024V00035V00035V00029V00024V00024V00030V00025V00044V00024V
28065012818902050306004.3V004.3V004.1V003.0V004.5V003.9V004.5V005.3V004.7V005.2V005.3V006.7V007.3V006.6V006.1V006.2V006.2V005.4V006.2V005.3V005.2V004.6V005.6V004.2V
28065012838902050306008.3V007.9V007.6V006.2V006.6V006.5V006.9V007.7V008.6V008.6V008.4V010.0V010.8V011.3V011.7V011.7V011.1V010.2V008.8V007.9V007.3V006.7V006.3V005.6V
2806501286890205030600057V00060V00057V00064V00060V00061V00059V00057V00055V00057V00057V00043V00038V00035V00032V00032V00034V00033V00036V00040V00042V00046V00047V00051V
2806501287890205030600924V00924V00924V00923V00923V00923V00923V00924V00924V00925V00926V00926V00926V00926V00925V00926V00926V00926V00927V00928V00928V00929V00929V00929V
2806501288890205030600004V00004V00004V00004V00004V00004V00004V00029V00150V00113V00216V00560V00574V00557V00468V00348V00183V00043V00004V00004V00004V00004V00004V00004V
28065012898902050306000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
28065012305902050306000.1V000.1V000.1V000.1V000.1V000.1V000.1V000.1V000.1V000.1V000.3V000.2V000.2V000.3V000.2V000.3V000.1V000.4V000.2V000.2V000.2V000.3V000.2V000.2V
28065012205902050306000.4V000.4V000.4V000.3V000.3V000.3V000.3V000.3V000.3V000.4V001.2V000.7V000.5V001.0V000.4V000.8V000.3V000.9V000.5V000.6V000.7V001.1V000.6V000.5V
28065012315902050306000.8V000.8V000.8V000.8V000.8V000.8V000.8V000.8V000.8V000.8V001.0V000.8V000.9V001.1V000.9V001.2V000.8V001.6V000.9V001.4V001.2V001.3V001.0V000.8V
2807400701380205030600003V00003V00003V00002V00003V00002V00002V00003V00002V00002V00002V00002V00001V00001V00001V00001V00002V00002V00002V00002V00003V00003V00002V00002V
2807400707080205030600004V00002V00001V00002V00001V00001V00001V00002V00002V00003V00002V00002V00002V00002V00001V00002V00002V00003V00002V00004V00003V00002V00002V00001V
2807400708080205030600014V00005V00003V00005V00004V00002V00002V00003V00003V00003V00003V00003V00002V00002V00002V00003V00003V00008V00017V00025V00030V00021V00016V00003V
28074007064802050306000.4V000.3V000.3V000.3V000.3V000.3V000.3V000.5V000.4V000.4V000.4V000.4V000.4V000.4V000.3V000.4V000.4V000.4V000.4V000.5V000.5V000.4V000.4V000.3V
2807400710490205030600018V00016V00012V00013V00013V00012V00009V00010V00013V00013V00017V00010V00009V00014V00013V00011V00009V00011V00012V00015V00014V00014V00012V00010V
2807400714060205030600052V00062V00068V00068V00069V00073V00076V00070V00073V00069V00069V00080V00084V00085V00086V00086V00082V00076V00067V00058V00053V00061V00065V00075V
2807400782890205030600294V00304V00282V00293V00282V00298V00314V00294V00310V00325V00102V00034V00102V00024V00097V00098V00035V00024V00025V00024V00023V00024V00024V00024V
28074007818902050306003.4V003.9V002.5V003.2V002.5V004.1V005.6V003.3V004.4V004.7V005.2V005.3V005.8V005.5V005.5V005.2V004.9V005.1V005.1V004.6V004.4V004.4V004.0V003.7V
28074007838902050306004.8V004.5V004.3V004.0V003.7V003.6V004.1V004.5V005.7V005.7V005.4V006.9V007.9V008.1V008.6V008.8V008.3V007.1V005.7V004.9V004.3V003.7V003.0V002.6V
2807400786890205030600058V00060V00058V00058V00058V00059V00057V00056V00053V00056V00054V00041V00036V00033V00030V00029V00030V00031V00034V00038V00041V00044V00047V00050V
2807400787890205030600923V00922V00922V00922V00922V00922V00922V00922V00923V00924V00924V00924V00924V00924V00924V00924V00924V00924V00925V00926V00926V00927V00927V00928V
2807400788890205030600004V00004V00004V00004V00004V00004V00004V00060V00177V00183V00223V00628V00638V00562V00499V00405V00204V00017V00004V00004V00004V00004V00004V00004V
28074007898902050306000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2800500201380205030600007V00007V00007V00007V00007V00007V00008V00010V00017V00008V00006V00004V00003V00004V00006V00003V00003V00003V00003V00006V00013V00010V00008V00005V
2800500207080205030600034V00047V00049V00018V00008V00016V00032V00067V00034V00011V00008V00009V00008V00009V00008V00007V00008V00009V00011V00015V00021V00017V00014V00009V
2800500208080205030600065V00074V00065V00046V00031V00040V00046V00058V00047V00014V00009V00005V00005V00010V00008V00004V00005V00017V00025V00044V00051V00052V00046V00035V
28005002064802050306001.2V001.1V001.2V001.0V000.9V001.1V001.3V001.4V001.0V000.8V000.7V000.7V000.8V000.7V000.7V000.7V000.7V000.7V000.8V000.8V001.0V001.0V001.0V000.9V
2800500210490205030600021V00019V00029V00026V00021V00023V00031V00029V00038V00039V00022V00009V00010V00016V00007V00009V00010V00011V00012V00013V00020V00019V00020V00009V
2800500214060205030600012V00005V00006V00013V00020V00016V00014V00003V00011V00049V00059V00070V00076V00073V00072V00078V00076V00065V00051V00034V00023V00029V00027V00033V
2800500282890205030600232V00181V00194V00163V00174V00168V00177V00172V00124V00022V00130V00185V00112V00046V00062V00335V00259V00051V00028V00056V00074V00079V00146V00118V
28005002818902050306001.8V001.2V001.3V001.6V001.8V001.6V001.2V000.9V002.0V004.9V003.9V004.6V005.7V004.6V004.5V005.8V005.5V003.9V003.3V003.0V002.9V002.4V002.3V001.8V
28005002838902050306005.0V003.7V002.6V002.1V001.8V001.5V001.8V001.4V002.4V004.9V006.0V007.9V009.1V009.0V009.2V008.4V008.8V008.3V006.2V004.9V003.9V003.1V002.3V001.0V
2800500286890205030600053V00059V00066V00070V00073V00076V00075V00078V00072V00066V00054V00042V00031V00027V00029V00033V00030V00029V00032V00033V00038V00044V00047V00052V
2800500287890205030600952V00952V00952V00952V00952V00952V00952V00952V00953V00954V00954V00954V00954V00954V00954V00954V00954V00955V00956V00956V00957V00958V00958V00958V
2800500288890205030600004V00004V00004V00004V00004V00004V00004V00011V00082V00209V00183V00586V00621V00355V00352V00357V00224V00053V00004V00004V00004V00004V00004V00004V
28005002898902050306000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2800500214080205030600011V00004V00005V00011V00019V00014V00013V00002V00009V00045V00054V00065V00071V00069V00067V00073V00070V00061V00048V00031V00021V00027V00024V00030V
2800600401380205030600007V00007V00007V00007V00007V00007V00007V00008V00008V00007V00006V00006V00006V00007V00007V00009V00006V00006V00007V00008V00008V00006V00006V00006V
2800600407080205030600005V00004V00004V00003V00003V00003V00004V00004V00005V00004V00004V00005V00005V00005V00005V00006V00005V00005V00005V00006V00005V00005V00005V00004V
2800600408080205030600041V00031V00028V00022V00019V00017V00016V00014V00023V00011V00010V00012V00010V00011V00011V00017V00013V00017V00026V00035V00028V00022V00018V00015V
28006004064802050306000.7V000.7V000.7V000.7V000.7V000.7V000.9V000.9V000.9V000.8V000.8V000.9V001.0V001.0V000.9V001.0V001.0V001.0V000.8V000.8V000.7V000.7V000.8V000.7V
2800600410490205030600016V00013V00013V00010V00008V00010V00011V00011V00009V00009V00012V00009V00005V00008V00010V00008V00007V00003V00003V00002V00004V00008V00009V00010V
2800600414060205030600040V00042V00045V00053V00056V00060V00065V00069V00061V00083V00088R00090R00095V00096V00097V00088V00094V00091V00077V00066V00074V00079V00081V00083V
2800600482890205030600248V00264V00262V00269V00257V00224V00243V00282V00203V00257V00101V00102V00336V00256V00336V00118V00101V00334V00335V00179V00101V00178V00180V00023V
28006004818902050306002.0V002.6V002.9V002.7V002.5V002.4V003.0V003.2V002.8V006.2V007.0V006.4V007.3V006.1V006.3V005.6V006.3V005.7V003.7V003.5V003.9V004.1V003.9V004.4V
28006004838902050306001.4V000.5V000.0V-00.3V-00.8V-00.4V000.4V001.3V002.3V003.8V004.5V005.5V006.2V006.8V007.6V006.7V006.6V005.8V003.9V002.7V001.9V001.2V000.8V000.3V
2800600486890205030600069V00075V00078V00079V00081V00079V00077V00074V00072V00066V00058V00052V00047V00043V00041V00047V00041V00039V00047V00051V00054V00056V00058V00061V
2800600487890205030600938V00938V00938V00937V00937V00937V00937V00938V00939V00940V00940V00940V00940V00940V00940V00940V00940V00941V00941V00942V00942V00943V00943V00943V
2800600488890205030600004V00004V00004V00004V00004V00004V00004V00010V00053V00275V00610V00671V00684V00640V00638V00302V00251V00073V00004V00004V00004V00004V00004V00004V
28006004898902050306000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
28006004305902050306001.0V000.9V000.8V000.8V000.8V000.8V000.8V000.8V000.8V000.9V000.8V000.8V000.9V000.8V000.8V000.8V000.9V000.9V000.9V001.0V001.0V001.0V000.9V000.8V
28006004205902050306003.9V002.7V001.5V001.3V001.0V001.7V001.9V000.7V001.2V001.2V000.8V000.9V000.9V000.7V000.7V000.8V000.8V000.9V001.1V001.2V001.1V001.0V000.8V000.8V
28006004315902050306002.0V001.1V000.7V000.5V000.4V000.6V000.8V000.5V000.7V000.7V000.6V000.5V000.5V000.4V000.4V000.5V000.4V000.4V000.6V000.7V000.6V000.6V000.6V000.5V
2800600442020205030607.88V07.81V07.70V07.64V07.61V07.53V06.84V06.55V06.59V06.53V06.40R06.34V06.34V06.23V06.20V06.32V06.64V06.73V06.75V06.67V06.58V06.54V06.81V07.15V
2800600444020205030602.69V02.67V02.61V02.60V02.61V02.39V02.05V01.90V02.02V02.07V01.99R01.81V01.85V01.76V01.72V01.60V01.84V01.94V02.05V02.05V02.03V02.02V02.17V02.37V
2805800401380205030600006V00006V00005V00005V00006V00006V00006V00006V00006V00005V00005V00005V00005V00005V00004V00003V00004V00006V00006V00006V00006V00006V00005V00004R
2805800407080205030600001V00001V00001V00001V00001V00001V00001V00001V00004V00002V00003V00006V00005V00005V00003V00003V00004V00004V00006V00006V00007V00004V00004V00001R
2805800408080205030600016V00016V00013V00010V00010V00011V00013V00012V00015V00014V00016V00017V00017V00016V00014V00013V00019V00029V00035V00044V00050V00044V00039V00020R
28058004064802050306000.1V000.1V000.1V000.1V000.1V000.1V000.1V000.1V000.1V000.2V000.2V000.2V000.2V000.2V000.2V000.2V000.2V000.3V000.3V000.3V000.3V000.3V000.2V000.2R
2805800410490205030600014V00011V00011V00013V00011V00008V00004V00005V00010V00009V00008V00006V00007V00006V00003V00006V00006V00003V00003V00007V00010V00013V00010V00008V
2805800414060205030600063V00061V00063V00070V00070V00071V00069V00074V00072V00072V00068V00075V00078V00080V00083V00083V00078V00067V00059V00047V00041V00045V00052V00070R
2805800482890205030600254V00260V00248V00276V00232V00282V00281V00215V00276V00175V00057V00052V00047V00046V00047V00047V00052V00046V00046V00052V00051V00045V00062V00063V
28058004818902050306003.2V002.9V002.5V003.3V002.5V003.0V003.0V003.7V003.1V003.2V005.0V005.2V005.4V005.8V005.7V005.4V004.7V004.0V004.9V004.3V003.5V003.8V003.4V003.9V
28058004838902050306005.5V004.8V003.4V003.8V003.7V003.7V003.7V005.5V006.2V006.4V006.0V007.8V008.5V008.7V008.9V009.1V008.9V008.1V006.3V005.2V004.7V003.9V003.5V003.2V
2805800486890205030600060V00064V00070V00069V00066V00066V00065V00057V00055V00056V00059V00041V00036V00031V00029V00028V00028V00030V00033V00039V00041V00044V00047V00050V
2805800487890205030600918V00918V00918V00917V00917V00917V00917V00917V00918V00919V00920V00920V00920V00920V00920V00920V00920V00920V00921V00921V00922V00922V00923V00923V
2805800488890205030600004V00004V00004V00004V00004V00004V00004V00089V00158V00108V00237V00554V00566V00501V00458V00325V00185V00045V00004V00004V00004V00004V00004V00004V
28058004898902050306000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2805800414080205030600061V00059V00060V00066V00067V00068V00067V00070V00068V00069V00065V00072V00075V00076V00079V00081V00075V00064V00056V00046V00039V00043V00049V00067R
28058004305902050306000.3V000.3V000.2V000.2V000.2V000.2V000.2V000.2V000.2V000.3V000.3V000.4V000.5V000.5V000.4V000.3V000.3V000.5V000.6V000.8V000.8V000.7V000.6V000.4V
28058004205902050306000.7V000.7V000.8V000.3V000.2V000.2V000.2V000.2V000.2V000.2V000.3V000.6V000.5V000.6V000.4V000.3V000.5V000.9V001.1V001.6V001.4V001.4V001.0V000.6V
28058004315902050306000.2V000.3V000.2V000.1V000.1V000.1V000.1V000.1V000.1V000.1V000.2V000.2V000.2V000.2V000.3V000.2V000.2V000.4V000.5V000.8V000.7V000.7V000.5V000.2V
2805800442020205030609.74V09.72V09.73V09.72V09.71V09.63V09.64V09.40V09.18V09.18V09.22V08.93V08.64V08.58V08.55V08.60V08.85V09.10V09.53V10.31V10.04V11.10V11.86V11.59V
2805800444020205030600.14V00.23V00.16V00.15V00.16V00.20V00.24V00.41V00.56V00.74V00.88V01.32V01.67V01.73V01.71V01.59V01.30V01.16V00.70V00.50V00.28V00.40V00.33V00.34V
